word,pos,meaning,definition,target_code
가게,명사,みせ【店】。しょうてん【商店】,小規模で品物を並べて売る店。,17287
가겟집,명사,みせ【店】。てんぽ【店舗】。しょうてん【商店】。ストア,"店を開いて商売をする場所。
",15032
가격,명사,かかく【価格】。ねだん【値段】。ねうち【値打ち】。プライス,"品物の価値を金で表したもの。
",62450
가격표,명사,かかくひょう【価格表】,商品の値段やサービスの価格が見やすいように書いておく表。,27761
가구,명사,かぐ【家具】,家の中で使われるベッドやクロゼット、食卓などのような器具。,62492
가구점,명사,かぐや【家具屋】。かぐてん【家具店】,"家具を売る店。
",28042
가까워지다,동사,ちかづく【近付く】。ちかくなる【近くなる】,ある場所から他の場所までの距離が短くなる。,59888
가까이,명사,ちかく【近く】。きんじょ【近所】,遠くなく、近い所。,62493
가까이,부사,"ちかく【近く】
","距離が遠くなく。
",62494
가까이하다,동사,したしむ【親しむ】。ちかよる【近寄る】,親しくする。,28056
가깝다,형용사,ちかい【近い】,ある地点から遠く離れていない。,65200
가끔,부사,"たまに
","稀に1回ずつ。
",65204
가늘다,형용사,ほそい【細い】,物の幅が狭い、または太くなく長い。,62497
가다,동사,ゆく・いく【行く】。うつる【移る】,ある場所から他の場所へ移動する。,27500
가득,부사,いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。なみなみ。なみなみと,何かの数量が決められた範囲に詰まっている様子。,62661
가루비누,명사,こなせっけん【粉石けん】,"洗濯をするとき使う粉状態の石鹸。
",15176
가루약,명사,こぐすり・こなぐすり【粉薬】,"粉状態の薬。
",15179
가르치다,동사,おしえる【教える】,知識や技術などを説明して習得させる。,62255
가리키다,동사,さす【指す】。しめす【示す】,指や物をある方向や対象に向けて、それを知らせる。,17882
가방,명사,かばん。バッグ,何かを中に入れて手でさげたり肩にかけたりできるように作られた携帯用具。,18259
가벼워지다,동사,かるくなる【軽くなる】,軽い状態になる。,91176
가볍다,형용사,かるい【軽い】,重量が少ない。,26788
가수,명사,"かしゅ【歌手】。うたいて【歌い手】
","歌を歌うことを職業とする人。
",62256
가슴,명사,むね【胸】。きょうぶ【胸部】,人間や動物の首と腹の間にある、体の前面の部分。,62908
가요,명사,かよう【歌謡】。うた【歌】,"大勢の人が好んで歌う歌。
",63794
가운데,명사,"なか【中】。ちゅうおう【中央】。ちゅうかん【中間】
","ある空間や事物の全ての端からほぼ同距離に離れている部分。真ん中。
",44486
가위,명사,"はさみ【鋏】
","紙や布、髪の毛などを切る道具。
",63801
가위바위보,명사,じゃんけん。じゃんけんぽん。じゃんけんぽい,互いに手を差し出し、指の出し方で順位や勝負などを決めること。,16347
가위질하다,동사,はさみをいれる【はさみを入れる】。はさみできる【はさみで切る】,はさみで切ったり、切り取る。,16353
가을,명사,あき【秋】,"四季の一つで、夏と冬の間の季節。
",32204
가을날,명사,あきのひ【秋の日】。あき【秋】。しゅうじつ【秋日】,秋の1日。または秋の天気。,16357
가을바람,명사,あきかぜ【秋風】,秋に吹く爽やかで涼しい風。,16350
가을밤,명사,しゅうや【秋夜】,秋の夜。,16351
가을비,명사,しゅうう・あきさめ【秋雨】,秋に降る雨。,16370
가이드,명사,"ガイド
","観光や旅行などで案内役を務める人。
",63804
가장,명사,かちょう【家長】,一家を代表し、責任を持つ人。主に一家の成人男性。,15145
가장,부사,もっとも【最も】。いちばん【一番】。なによりも【何よりも】,他のどれよりもまさるさま。,26795
가전,명사,かでん【家電】,家庭で使う電気器具。,25829
가져가다,동사,もっていく【持っていく】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移していく。,53811
가져오다,동사,もってくる【持ってくる】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移してくる。,53818
가족,명사,かぞく【家族】,一家で共同生活をし、夫婦やその子供、兄弟などの関係で構成された集団。また、その構成員。,44487
가족사진,명사,かぞくしゃしん【家族写真】,家族で一緒に撮った写真。,601296
가지,명사,ナス【茄子】,"紫黒色の長い円筒模様で、煮ておかずとして食べる実。また、その実が開花する草。
",63806
가지,의존 명사,しゅるい【種類】。しゅ【種】,物の種類を数える語。,59921
가지다,동사,もつ【持つ】。たずさえる【携える】,何かを手に握ったり、身に付けたりする。,65234
가지다,보조 동사,て	,"前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。
",61191
개,명사,"いぬ【犬】
","臭覚や聴覚が鋭く、利口で人に良くなつくため、狩りやペットの目的で飼う動物。
",64115
개,의존 명사,こ【個】,個々になっているものを数える単位。,22784
개월,의존 명사,かげつ【ヶ月】,月数を数える単位。,17304
거,의존 명사,もの【物】,ある物事や現象、または事実。,62331
거기,대명사,そこ。そちら。	,"聞き手に近い場所をさす語。
",62258
거리,명사,"まち【街・町】。とおり【通り】
","人や車が行き交う道。
",20187
거리,의존 명사,たね【種】,内容となるにふさわしい対象や材料。,64727
거실,명사,いま【居間】。リビングルーム。ちゃのま【茶の間】,"西洋式の家で、家族が集まって生活したり、お客をもてなす中心空間。
",66304
거울,명사,"かがみ【鏡】
","物体の形を映して見る、薄くて平たい道具。
",59325
거의,명사,ほとんど。ほぼ。おおよそ【大凡】。だいたい【大体】,"全部から少し足りない程度。
",88839
거의,부사,"ほとんど
","全部ではなく、やや足らずに。
",60090
거절,명사,きょぜつ【拒絶】。きょひ【拒否】。ことわり【断わり】。えんりょ【遠慮】,人からの頼みや提案、贈り物などを受け入れないこと。,20468
거절되다,동사,きょぜつされる【拒絶される】。きょひされる【拒否される】。ことわられる【断られる】。えんりょされる【遠慮される】 ,頼みや提案、贈り物などが受け入れられない。 ,20475
거절하다,동사,きょぜつする【拒絶する】。きょひする【拒否する】。ことわる【断る】。えんりょする【遠慮する】 ,人からの頼みや提案、贈り物などを受け入れない。 ,15847
거짓말,명사,"うそ【嘘】。いつわり【偽り】
","事実でないことを事実であるように偽って言う言葉。
",28444
거짓말하다,동사,うそをつく【嘘を付く】。いつわる【偽る】,事実でないことを事実であるように偽って言う。,20537
게스트,명사,"ゲスト
",放送番組に招待されて出る人。,26780
게으르다,형용사,"ぶしょうだ【不精だ】。ものぐさだ
","行動がのろく、身体を動かしたり仕事をするのを面倒くさがる。

",15948
게이머,명사,ゲーマー,オンラインゲームやコンピューターゲームをする人。,28438
게임,명사,"ゲーム。あそびごと【遊びごと】
","ルールを決めて勝ち負けを決める遊び。
",57276
게임기,명사,"ゲームき【ゲーム機】
",ゲームができるように作った電子機械。,28442
게임방,명사,ゲームルーム,コンピューターゲームができるように施設を取り付けているルーム。,28445
겨울,명사,"ふゆ【冬】。とうき【冬季】
","四季の中で最も寒く、秋と春の間の季節。
",64367
겨울나무,명사,ふゆき・ふゆぎ【冬木】,冬になって葉が落ち尽くして枝だけの姿になった木。,28471
겨울날,명사,とうじつ・ふゆび【冬日】,冬の日。,28472
겨울눈,명사,ふゆめ・とうが【冬芽】,晩夏から秋に形成され、越冬した後、翌年の春に伸びる芽。,28473
겨울바람,명사,ふゆかぜ【冬風】。ふゆのかぜ【冬の風】,冬に吹く冷たい風。,28475
겨울 방학,,"ふゆやすみ【冬休み】。とうききゅうぎょう【冬季休業】。とうききゅうか【冬季休暇】
","冬の一番寒い時期に学校の授業をしばらく休みにすること。また、その期間。
",28476
겨울비,명사,ふゆさめ【冬雨】。ふゆのあめ【冬の雨】,冬に降る雨。,28477
겨울옷,명사,ふゆふく【冬服】,冬に着用する衣服。,28480
계단,명사,"かいだん【階段】
","昇り降りするため、段をずらして配列した構造物。
",23937
계란,명사,けいらん【鶏卵】。たまご【卵】。とりのこ【鳥の子】。おたま【御玉】,鶏の卵。,15355
계산,명사,"けいさん【計算】。かんじょう【勘定】
","数を数えたり、足し算・引き算・掛け算・割り算などの勘定をすること。
",26229
계산되다,동사,けいさんされる【計算される】。かんじょうされる【勘定される】,"数が数えられたり、足し算・引き算・掛け算・割り算などの勘定が行われたりする。
",26232
계산하다,동사,けいさんする【計算する】。かんじょうする【勘定する】,"数を数えたり、足し算・引き算・掛け算・割り算などの勘定をしたりする。
",62498
계속,명사,"けいぞく【継続】
","絶えることなく続けていくこと。
",17692
계속,부사,"つづけて【続けて】
","途切れずに続けて。
",17695
계속되다,동사,つづく【続く】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】 ,"絶えることなく続いていく。
",17698
계속하다,동사,つづける【続ける】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】,絶つことなく続けていく。,17727
계시다,동사,いらっしゃる,地位の高い人や目上の人がどこかに住んでいることを表す尊敬語。,17749
계시다,보조 동사,いらっしゃる,「いる」の尊敬語。前の言葉の表す行動を続けて行うか、その結果が続くという意を表す「補助動詞」。,61346
계절,명사,"きせつ【季節】
","1年を自然現象に従って春夏秋冬に分けた一つの時期。
",22537
계좌 번호,,こうざばんごう【口座番号】,"金融機関が顧客の口座ごとに与えた固有の番号。
",22573
계획,명사,"けいかく【計画】。プラン
",これからの事をじっくり考えて決めること。,23324
계획되다,동사,けいかくされる【計画される】,"これからの事がじっくり考えられて決められる。
",23331
계획하다,동사,けいかくする【計画する】,"これからの事をじっくり考えて決める。
",62500
고개,명사,くび【首】,うなじやのどを含めた頭の部分。,62501
고구마,명사,"サツマイモ
",表面の皮は紫や紅色、内部は黄色を帯びていて、甘い味がする、植物の塊根。,28058
고기,명사,にく【肉】,食べ物として食べる動物の肉。,31685
고등학교,명사,こうこう【高校】。こうとうがっこう【高等学校】,中学校を卒業したり、中学校を卒業した水準の学力を備えていれば入学できる学校。,23380
고등학생,명사,"こうこうせい【高校生】。こうとうがくせい【高等学生】
",高校に通う生徒。,23381
고르다,동사,えらぶ【選ぶ】。せんたくする【選択する】,"多くの中からある物を取り出す。
",19935
고맙다,형용사,ありがたい【有難い】,"他人が自分に何かしてくれたことに対して、嬉しく恩返ししたいと思う。

",20041
고모,명사,おば【叔母・伯母】,父親の姉や妹。または、その人を呼ぶ語。,20052
고모부,명사,おじ【叔父・伯父】,父親の姉や妹の夫を指したり呼ぶ語。,20055
고민,명사,"なやみ【悩み】
",心の中に悩み事があって苦しみ、思いわずらうこと。,19225
고민되다,동사,なやむ【悩む】,"心の中に悩み事があって苦しみ、思いわずらう。
",19227
고민하다,동사,なやむ【悩む】,"心の中に悩み事があって苦しみ、思いわずらう。
",19229
고속버스,명사,"こうそくバス【高速バス】
",主に高速道路を利用して遠距離を早いスピードで走行するバス。,17987
고양이,명사,ねこ【猫】,暗い所でも目がよくきいて、ネズミ捕りが上手で、家の中で飼ったりする動物。,18779
고장,명사,こしょう【故障】,機械や装置などがきちんと作動しないこと。,18856
고추,명사,とうがらし【唐辛子】,指ほどのサイズで、最初は緑色だが、実ると赤くなるからい味のする実。,18366
고추장,명사,コチュジャン,唐辛子の粉を主な材料にして作った赤色の韓国固有の薬味。,18359
고치다,동사,なおす【直す】,"壊れたり使えなくなったりしたものを役に立つようにする。
",18381
고프다,형용사,すく【空く】。へる【減る】,"空腹で食べ物がほしい。

",18396
고향,명사,ふるさと・こきょう【故郷】。きょうり【郷里】。くに【国】,生まれ育った土地。,27364
과거,명사,"かこ【過去】。むかし【昔】
","過ぎ去った時。
",27244
과일,명사,くだもの・かぶつ【果物】。フルーツ,りんご・梨・ブドウ・栗の実など、木の枝や幹に実る、食べられる果実。,18264
과일나무,명사,くだもののき【果物の木】。かじゅ【果樹】,果実を収穫するために栽培する木。,18272
과일주,명사,かじつしゅ【果実酒】,果物を材料に造った酒。,18274
과자,명사,かし【菓子】,小麦粉や米の粉などに牛乳、砂糖などを入れてこね、焼いたり揚げたりした間食。,18286
교과서,명사,きょうかしょ【教科書】,学校である科目を教える目的で作った本。,28629
교사,명사,きょうし【教師】,幼稚園、小学校、中学校、高校などで、資格を持って生徒を教える人。,24037
교수,명사,きょうじゅ【教授】,学問や技術などを教える行為。またはその方法。,31684
교실,명사,"きょうしつ【教室】
","幼稚園・小学校・中学校・高校で、教師が生徒を教える部屋。
",64472
교육,명사,きょういく【教育】,個人の能力を育てるため、知識・教養・技術などを教えること。,55289
교육되다,동사,きょういくされる【教育される】,"知識・教養・技術などを教わって能力が高まる。
",32476
교육하다,동사,きょういくする【教育する】,"個人の能力を育てるため、知識・教養・技術などを教える。 
",35126
교통,명사,"こうつう【交通】。つうこう【通行】
","自動車・汽車・船・飛行機などの乗り物を利用して人や物資が行き来すること。
",64469
교통비,명사,こうつうひ【交通費】。うんちん【運賃】。のりちん【乗り賃】,交通機関を利用するのにかかる費用。,35967
교통사고,명사,"こうつうじこ【交通事故】
",自動車や汽車などが他の交通機関と衝突したり歩行者を跳ねたりして起こる事故。,35968
교통 카드,,こうつうカード【交通カード】	,"バスや地下鉄などの公共交通機関などを利用する場合、料金を払うために使うカード。
",36003
교환,명사,こうかん【交換】,何かを別のものと取り替えること。,37628
교환되다,동사,こうかんされる【交換される】,"何かが別のものと取り替えられる。
",43494
교환하다,동사,こうかんする【交換する】,"何かを別のものと取り替える。
",24078
교회,명사,"きょうかい【教会】
",イエスキリストを救世主として信奉する人々の共同体。また、その人々が集まって活動する場所。,64370
교회 음악,,きょうかいおんがく【教会音楽】。キリストきょうおんがく【キリスト教音楽】	,"キリスト教で歌われ、演奏されるすべての音楽。
",37636
구,명사,く【句】,2つ以上の単語が集まって文の一部分をなす言葉の単位。,37645
구,명사,"く【区】
","特別市・広域市および人口50万以上の大都市の洞の上の行政区域単位。
",24085
구,수사,きゅう・く【九】	,"8に1を足した数。
",34882
구,관형사,きゅう【九】,9の。,34898
구경,명사,"けんぶつ【見物】
","興味や関心を持って見ること。
",64484
구경하다,동사,けんぶつする【見物する】,"興味や関心を持って見る。 
",62355
구두,명사,くつ【靴】,スーツを着る時に履く革やビニールなどで作られた履き物。,26805
구름,명사,くも【雲】,空気中の小さい水滴や氷晶が白や灰色で集まって、空中に浮かんでいるもの。,64487
구십,수사,きゅうじゅう・くじゅう【九十】	,"10の9倍になる数。
",28637
구십,관형사,きゅうじゅうの【九十の】	,"九十になるさま。
",89598
구월,명사,くがつ【九月】,"1年12ケ月の中で9番目の月。
",20190
귀,명사,"みみ【耳】
","人や動物の頭部の左右にあって、音を聞く身体の一部分。
",60201
귀걸이,명사,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38146
귀고리,명사,みみかざり【耳飾り】。イヤリング。ピアス,耳につける装身具。,38158
귀여워하다,동사,かわいがる【可愛がる】,"自分より幼い人や動物を可愛いと思ってやさしく扱う。
",38317
귀엽다,형용사,かわいい【可愛い】,見た目がきれいで、愛らしい。,38323
귀찮다,형용사,めんどうだ【面倒だ】,嫌で、厄介だ。,37050
규칙,명사,きそく【規則】,多くの人が守るように決めておいた法則。,35269
그,대명사,かれ【彼】,話し手や聞き手を除いた人をさす語。,62250
그,관형사,その	,"空間的に聞き手に近い人や物、または聞き手が考えている対象をさすときに使う語。
",43883
그거,대명사,それ,"聞き手に近いものや、聞き手が考えているものをさす語。
",62251
그것,대명사,"それ
","聞き手に近いものや、聞き手が考えているものをさす語。
",31953
그곳,대명사,そこ	,"聞き手に近い場所をさす語。
",17207
그날,명사,そのひ【その日】,"前で言った日。
",36674
그냥,부사,"そのまま
","何もせず、そのまま。
",36241
그다음,명사,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36250
그담,명사,そのつぎ【その次】。そのあと･そのご【その後】,"あるものに続いてくる時や場所、順番。
",36253
그대로,명사,そのまま,それ自体。,93615
그동안,명사,そのあいだ・そのかん【その間】。あいま【合間】,"すでに話した分だけの期間。また、再び会ったり連絡するまでの一定の期間。
",60236
그때,명사,そのとき【その時】。そのじき【その時期】,"前述のある時。
",29683
그래,감탄사,そう,「そうする。そうである。わかった」などという肯定の返事をする時にいう語。,27656
그래서,부사,,"前の内容が後ろの内容の原因、または根拠、条件などになる時に用いる語。
",61169
그램,의존 명사,グラム,重量の単位。,36267
그러나,부사,"しかし
","前の内容と後ろの内容が互いに反対になる時に用いる語。
",62263
그러니까,부사,それゆえ【それ故】,そのような理由で。または、そんなわけで。,58609
그러면,부사,"だったら
","前の内容が後ろの内容の条件になる時に用いる語。
",58276
그러므로,부사,"だから
","前の内容が後ろの内容の理由や原因、根拠になる時に使う語。
",36276
그런,관형사,そんな。そのような。そうした。そういう	,"状態・模様・性質などがそのようなさま。
",60341
그런데,부사,"しかし
","話題を前の内容と関連づけて他の方向に変える時に用いる語。
",70717
그럼,부사,"それなら。ならば
","前の内容が後ろの内容の条件になる時に用いる語。
",60346
그럼,감탄사,そうだとも。そうとも。もちろん。たしかに【確かに】,言うまでもなく当然だという意味で答える時にいう語。,62277
그렇다,형용사,そのとおりだ,状態、形、性質などがそれと同じである。,61178
그렇지만,부사,"しかし
","先に話した内容と対立する内容を表し、それが事実であるけれども。
",70718
그루,의존 명사,ほん【本】。かぶ【株】,樹木を数える単位。,36296
그릇,명사,"うつわ【器】。しょっき【食器】。いれもの【入れ物】
","食べ物を盛る道具。
",31674
그리고,부사,"そして
","前の内容に続いて後ろの内容を単純に並べる時に用いる語。
",62240
그리기,명사,"えかき【絵描き・絵書き】。かいが【絵画】
",絵をかくこと。,36303
그리다,동사,かく・えがく【描く】,"鉛筆や筆などを利用して、線や色で物を表す。
",57277
그림,명사,え【絵】。かいが【絵画】,線や色彩で事物の模様やイメージなどを平面上に表したもの。,29687
그림엽서,명사,えはがき【絵葉書】,"片面に絵や写真があるはがき。
",30713
그림일기,명사,えにっき【絵日記】,主に子供が書く、絵や文章で表す日記。,30717
그립다,형용사,なつかしい【懐かしい】,とても会いたい。,37070
그만,부사,ここまで,もうこのぐらいまで。,36428
