韓国語,品詞,日本語訳,定義
까만색,名詞,くろ【黒】。こくしょく【黒色】,光がない時の夜空や墨のような色。
나라,名詞,こっか【国家】,一定の領土、主権を持っている人々の社会的な組織。
나머지,名詞,あまり【余り】。よぶん【余分】。のこり【残り】。よじょう【余剰】,ある量を満たした後、余った分。
나무,名詞,き【木・樹】。じゅもく【樹木】,しっかりした幹に枝と葉がついた、数年間にわたって育つ植物。
나이,名詞,とし【年・歳】。ねんれい【年齢】。よわい【齢】,人や動植物などが生まれてから生きてきた年数。
나중,名詞,あと・のち【後】。のちほど【後程】,一定の時間が過ぎた後。
나흘,名詞,よっか【四日】。よっかかん【四日間】,日数が四つ。
내과,名詞,ないか【内科】,主に薬品で内蔵器官の疾病を治療する医学分野。また、その分野の病医院。
내년,名詞,らいねん【来年】。よくねん【翌年】。みょうねん【明年】。つぎとし【次年】,今年のすぐ次の年。
내용,名詞,ないよう【内容】。なかみ【中身】,器・箱などの中に入っているもの。
내일모레,名詞,あさって・みょうごにち【明後日】,明日の次の日。
네거리,名詞,じゅうじろ【十字路】。よつかど【四つ角】。こうさてん【交差点】,道が一ヵ所で四つの方向に分かれたところ。
네발,名詞,よつあし【四つ足】。しそく【四足】,動物や事物にぶら下がっている4本の足。
노란색,名詞,きいろ【黄色】。イエロー,ひよこやバナナと同じ色。
노래,名詞,うた【歌・唄】。かきょく【歌曲】,歌詞のある音楽。また、音楽を声に出して歌うこと。
노래방,名詞,カラオケ,歌詞を見ながら歌えるように音楽機械を備えておいた場所。
노래자랑,名詞,のどじまん【喉自慢】,大勢の人が集まったところで、誰が歌をよりうまく歌えるかを競争しながら楽しむこと。
노력,名詞,どりょく【努力】。とりくみ【取組】。じんりょく【尽力】,ある目的を成し遂げるために力を尽くして励むこと。
노인,名詞,おとしより【お年寄り】。ろうじん【老人】。シルバー。こうれいしゃ【高齢者】,年をとって老いた人。
누나,名詞,あね【姉】,男の人がきょうだいや親戚のきょうだいのうち、自分より年上の女の人を指したり呼ぶ語。
뉴스,名詞,ニュース,新しい情報を伝える放送。
느낌,名詞,かんじ【感じ】。きもち【気持ち】。おもい【思い】,体や心から起こる気運や感情。
다리,名詞,あし【足・脚】 | はし【橋】。きょうりょう【橋梁】,人間や動物の胴体の下について、立ったり歩いたり走ったりする機能を行う身体部位。 | 川・海・道・谷などを渡れるように、両端をつないで作った施設。
다음,名詞,つぎ【次】,ある順序のすぐ後。
다음날,名詞,つぎのひ【次の日】。またのひ【またの日】。よくじつ【翌日】。べつのひ【別の日】。ごじつ【後日】,定まっていない将来のある日。
다이어트,名詞,ダイエット,健康または美容上、食べ物の種類や量を調節して摂ること。
대답,名詞,こたえ【答え】。へんとう【返答】。へんじ【返事】,呼びかけに対して言葉で応じること。また、その言葉。
대사관,名詞,たいしかん【大使館】,大使を中心に、一国を代表して他の国で外交業務を行う国の機関。
대학,名詞,だいがく【大学】,高校を終えて進学する高等教育機関。
대학교,名詞,だいがく【大学】,高校を卒業してから進学する教育機関。また、その機関が入っている建物や施設。
대학생,名詞,がくせい【学生】。だいがくせい【大学生】,大学に通う学生。
대학원,名詞,だいがくいん【大学院】,大学を卒業した人が専門的な教育を受けて研究をする機関。
대학원생,名詞,だいがくいんせい【大学院生】。いんせい【院生】,大学院に通う学生。
대화,名詞,たいわ【対話】。はなし【話】。かいわ【会話】。おしゃべり【御喋り】,向かい合って話し合うこと。また、その話。
대회,名詞,たいかい【大会】,多くの人が集る会合や会議。
데이트,名詞,デート,男女が付き合うために会うこと。
도,名詞,どうとく【道徳】。どうり【道理】,人間なら守ってしかるべき道徳。
도로,名詞,どうろ【道路】,人や車が通えるように設けられた道。
도서관,名詞,としょかん【図書館】,本や資料などを多く集めておいて、人々が借りて読んだり勉強できるようにした施設。
도시,名詞,とし【都市】,政治、経済、文化の中心となり、人々が多く住む地域。
도움,名詞,たすけ【助け】。じょりょく【助力】,他人を助けること。
도착,名詞,とうちゃく【到着】,目的地に行きつくこと。
돼지,名詞,ぶた【豚】,太っていて、脚と尾が短く、目が小さい、肉を食べるために飼う家畜。
돼지고기,名詞,ぶたにく【豚肉】,食べ物として食べる豚の肉。
두부,名詞,とうふ【豆腐】,大豆を砕いて作った白くて柔らかい食べ物。
두통,名詞,ずつう【頭痛】,頭が痛む症状。
뒤,名詞,うしろ【後ろ】。こうほう【後方】,向かっている方向の反対側。
뒤쪽,名詞,うしろ【後ろ】。こうほう【後方】,向かっている方向の反対側。
드라마,名詞,ドラマ,劇場で公演されたり、テレビなどで放送される劇。
디자인,名詞,デザイン,衣装・工業製品・建築など、実用的な目的を持った作品の設計や図案。
때,名詞,とき【時】。じこく【時刻】,時間のある瞬間や部分。
라디오,名詞,ラジオ,放送局で、音声を電波で発信し、受信装置を持った人々が聞くようにすること。また、その放送。
라면,名詞,インスタントラーメン。そくせきラーメン【即席ラーメン】,油で揚げた麺塊と粉末スープが入っていて熱湯に入れて煮るだけで簡単に食べられる料理。
레몬,名詞,レモン,酸味が強く、匂いがすっぱい、楕円形の黄色い実。
레스토랑,名詞,レストラン,西洋の料理を売る食堂。
로비,名詞,ロビー,ホテルや劇場などで、応接室や通路を兼ねた広い空間。
로션,名詞,ローション,肌をしっとりと柔らかくするために塗る、濃い液状の基礎化粧品。
마당,名詞,にわ【庭】,家についている、平らに開けている土地。
마을,名詞,むら【村】,複数の家屋が村を成して集まって暮らす所。
마음,名詞,こころ【心】。き【気】。きしつ【気質】,人が生まれた時から持っている性質。
마중,名詞,でむかえ【出迎え】,駅や空港などに出向いて、自分を訪ねてきた人を出迎えること。
마지막,名詞,さいご【最後】,時間や順序のいちばんあと。
마트,名詞,マート,各種生活用品を販売する大型の売場。
매표소,名詞,しゅっさつじょ【出札所】。きっぷうりば【切符売場】,乗車券・入場券などを売る場所。
매해,名詞,まいとし【毎年】,年々。
머리,名詞,あたま【頭】。とうぶ【頭部】,人間や動物の体で、顔と髪の毛が生えている部分を全て含めた、首の上の部分。
머리빗,名詞,くし【櫛】,髪の毛を梳く時に使う道具。
머리카락,名詞,かみのけ【髪の毛】,髪の毛の１本１本。
머리핀,名詞,ヘアピン,髪の毛を留めるピン。
메뉴,名詞,メニュー。こんだてひょう【献立表】,飲食店で売る料理の品目と価格を示した表。
메모,名詞,メモ,忘れないように、または他の人に伝えるために、ある内容を簡単に書き留めること。また、書き留めたもの。
메시지,名詞,メッセージ。でんごん【伝言】,ある事実を報告・主張・警告するために特別に伝える言葉。
메일,名詞,メール,インターネットや通信網を利用してやり取りするメール。
며칠,名詞,なんにち【何日】。いくにち【幾日】,その月の何日目。
모기,名詞,か【蚊】,人や家畜などの血を吸う、飛び回る小さな昆虫。
모기약,名詞,かよけざい【蚊除け剤】,蚊を追い払ったり、駆除する時に使う殺虫剤。
모습,名詞,ようぼう【容貌】。すがた【姿】。ようす【様子】,人や物の姿。
모양,名詞,もよう【模様】。ようす【様子】。かた【形】,外から見てわかる物事のありさまや姿。
모임,名詞,かい【会】。かいごう【会合】。あつまり【集り】。つどい【集い】。よりあい【寄り合い】,ある事を行うため、多くの人が寄り集まること。
모자,名詞,ぼうし【帽子】,礼をわきまえたり、寒さや暑さなどを防ぐために頭にかぶるもの。
무,名詞,だいこん【大根】,色が白く、長い根に羽状の葉があって、キムチなどをつける野菜。
무게,名詞,おもさ【重さ】。めかた【目方】。じゅうりょう【重量】,物の重さの度合い。
무궁화,名詞,むくげのはな【むくげの花】。きんか【槿花】,夏から秋にかけて、白色、紫色、紅色などの花弁が鐘状に広く開く花。
무료,名詞,むりょう【無料】。むだい【無代】。ただ,料金がないこと。
무릎,名詞,ひざ【膝】。ひざがしら【膝頭】,太ももとすねの間で、丸く前に突き出ている部分。
미끄럼,名詞,すべり【滑り】,すべること。また、そのような遊び。
미끄럼틀,名詞,すべりだい【滑り台】,滑り降りて遊ぶことができる、斜めに作られた機具。
미래,名詞,みらい【未来】。しょうらい【将来】,これから来る時。
미술관,名詞,びじゅつかん【美術館】,美術品を展示し、一般に公開する場所。
미안,名詞,すまないこと【済まないこと】。もうしわけないこと【申し訳ないこと】,間違いをおかして、心が安らかでなく恥ずかしいこと。
미용실,名詞,びよういん【美容院】。びようしつ【美容室】。ヘア・サロン,髪の毛を切ったり、染色・パーマ・化粧などのサービスを提供するところ。
바깥,名詞,そと【外】。そとがわ【外側】,外になる場所。
바깥쪽,名詞,そとがわ・がいそく【外側】。おもてがわ【表側】,外へ向かう方。
바나나,名詞,バナナ,長くて曲がっている形で、果皮が黄色くてよく剥け、白い果肉が甘くて柔らかい熱帯果物。
바다,名詞,うみ【海】。かいよう【海洋】,地球で陸地の以外の部分で、塩水が満ちているところ。
바다낚시,名詞,うみづり【海釣り】,海で魚を釣ること。
바닥,名詞,へいめん【平面】。そこ【底】。ゆか【床】,ある空間で、下が平らで広い部分。
바닷가,名詞,かいがん【海岸】。はまべ【浜辺】,海と陸地が接している所やその辺り。
바람,名詞,かぜ【風】,気圧の変化、または人や機械によって起こる空気の動き。
바이올린,名詞,バイオリン,中央部のくびれた楕円形の胴体に4本の弦を張り、弓でこすって奏する楽器。
바지,名詞,ズボン。パンツ,足を片方ずつ入れるように股下で2つに分かれた、下半身にはく衣服。
배달,名詞,はいたつ【配達】。でまえ【出前】,郵便物や商品、食べ物を届けること。
배달원,名詞,はいたついん【配達員】,品物や料理などを届けることを職業とする人。
배드민턴,名詞,バドミントン,ネットを挟み、相手とラケットでシャトルコック（羽球）を打ち合うスポーツ競技。
배우,名詞,はいゆう【俳優】。やくしゃ【役者】,映画・演劇・ドラマなどの登場人物に扮して演技をする人。
배추,名詞,はくさい【白菜】,長くて丸い葉が重なって育つ、中は黄白色で、表は緑色の野菜。キムチの材料によく使われる。
배탈,名詞,しょくもたれ【食もたれ】。しょくあたり【食あたり】,食べたものがうまく消化されず、下痢をしたり腹痛を起こす病気。
버거,名詞,バーガー,丸いパンの間に肉と野菜とチーズなどを挟んだ食べ物。
버릇,名詞,くせ【癖】,長い間繰り返して習慣になった性質や行動。
버스,名詞,バス,料金をもらって決まった道を通って、たくさんの人を乗せる大きい自動車。
보기,名詞,みほん【見本】。サンプル。れい【例】,何かを説明したり証明するために代表として示すもの。
보라색,名詞,むらさきいろ【紫色】。むらさき【紫】,赤と青の中間の色。
부모님,名詞,ごりょうしん【ご両親】,両親を敬っていう語。
부부,名詞,ふうふ【夫婦】。ふさい【夫妻】,夫と妻。
부분,名詞,ぶぶん【部分】,全体を成している小さい範囲。また、全体をいくつかのグループに分けたものの中で一つ。
부엌,名詞,だいどころ【台所】。キッチン。ちゅうぼう【厨房】,家の中で調理や皿洗いをするなど、食事と関連した仕事をする場所。
부인,名詞,ふじん【夫人】,他人の妻を敬っていう語。
부자,名詞,かねもち【金持ち】。ものもち【物持ち】。ふごう【富豪】,財産を多く持っている人。
부장,名詞,ぶちょう【部長】,機関・組織などで一部を受け持って総括する職位。また、その職位の人。
부족,名詞,ふそく【不足】,必要な量や基準に満たないか、十分でないこと。
부탁,名詞,たのみ【頼み】。おねがい【お願い】。いらい【依頼】,何かをしてほしいと伝えて願うこと。また、ゆだねること。
비,名詞,あめ【雨】,高いところで雲をつくっていた水蒸気が冷えて、一塊になって落ちてくる水滴。
비교,名詞,ひかく【比較】。くらべ【比べ】,二つ以上のものを並べて、同じ点と違う点を見比べること。
비구름,名詞,あまぐも【雨雲】,雨を降らせる雲。
비누,名詞,せっけん【石鹸】,水をつけて泡を出して、身体や服についた汚れを洗い落とす洗剤。
비디오,名詞,ビデオ,テレビで、音声と対応する映像。
비밀,名詞,ひみつ【秘密】,隠していて、人に知られていないこと。
비옷,名詞,あまぎ【雨着】。あまガッパ【雨ガッパ】。レインコート,雨に濡れないように衣服の上に着る、防水のもの。
비행기,名詞,ひこうき【飛行機】,人や物を乗せて空を飛ぶ交通手段。
사거리,名詞,じゅうじろ【十字路】。よつつじ【四つ辻】。よつかど【四つ角】,道が1ヵ所から4つの方向に分かれている場所。
사계절,名詞,しき【四季】,春・夏・秋・冬の4つの季節。
사고,名詞,じこ【事故】,思いがけず起こった、望ましくない出来事。
사과,名詞,りんご【林檎】。アップル,丸くて赤い、甘酸っぱい味のする果物。
사람,名詞,ひと【人】。にんげん【人間】。じんるい【人類】,考える力があり、言語と道具を使い、社会を作って生きる存在。
사랑,名詞,あい【愛】。こい【恋】。あいじょう【愛情】,相手に性的な魅力を感じて、熱烈に恋い慕う情。
사무실,名詞,じむしつ【事務室】,職場で主に書類などを処理し、自分に課せられた仕事をする部屋。
사업,名詞,じぎょう【事業】。ビジネス,経済的な利益を得るために、ある組職を経営すること。
사용,名詞,しよう【使用】,何かを必要なことや機能に合わせて使うこと。
사월,名詞,しがつ【四月】,1年12ケ月の中で4番目の月。卯月（うづき）。
사이,名詞,あいだ・ま【間】。かんかく【間隔】。あいま【合間】,物と物まで、または場所と場所までの距離や空間。
사이다,名詞,サイダー,砂糖水に炭酸を混合して作った透明な炭酸飲料。
사이즈,名詞,サイズ,服・靴などの大きさ・寸法。
사장,名詞,しゃちょう【社長】,会社を代表し、会社の事に責任を持つ人。
사장님,名詞,しゃちょう【社長】,店や会社の社長を敬っていう語。
사전,名詞,じてん【辞典】。じしょ【辞書】。じびき【字引】,言葉を集めて一定の順序に従って載せ、その発音・意味・語源・用法などを説明した本。
사진,名詞,しゃしん【写真】,事物の姿を長く保存できるようにカメラで撮って、紙やコンピューターなどに写した映像。
사진기,名詞,しゃしんき【写真機】。カメラ,写真を撮る機械。
사진반,名詞,しゃしんぶ【写真部】,学校などで写真の撮影を趣味とする部活動や団体。
사진사,名詞,しゃしんし【写真師】。しゃしんぎし【写真技師】,写真の撮影を職業とする人。
사진작가,名詞,しゃしんさっか【写真作家】,写真の撮影を専門的に行う芸術家。
사탕,名詞,キャンディー,飴や砂糖を煮詰めて、口に入れやすい大きさに作った硬くて甘い菓子。
사흘,名詞,みっか・みか【三日】。みっかかん【三日間】,三つの日数。
새것,名詞,しんぴん【新品】,既存の物ではなく、新しく出たり作った物。
새벽,名詞,よあけ【夜明け】。あけがた【明け方】。あかつき【暁】,日が昇るころ。
새해,名詞,しんねん【新年】。しんしゅん【新春】,新しく始まる年。
샤부샤부,名詞,しゃぶしゃぶ,薄く切った肉と野菜、海鮮などを、沸騰した出汁に入れて軽く煮て食べる料理。
샤워,名詞,シャワー,雨のように水を噴出させる器具を使用して体を洗うこと。
샤워실,名詞,シャワーしつ【シャワー室】,シャワーができるように作られた部屋。
샤프,名詞,シャープペンシル。シャーペン,ノックボタンを押すと芯が少しずつ出てきて、字を書く時に使う筆記用具。
서랍,名詞,ひきだし【引き出し】,机や箪笥などに取り付け、引き出して開けるようにした、ものを入れるための箱。
서로서로,名詞,たがい【互い】。そうほう【双方】,対を成したり相対する関係にある相手を強調していう語。
서류,名詞,しょるい【書類】,文字で書き付けた文書。
서비스,名詞,サービス,製品を直接作らない、販売・観光・金融・医療などの活動。
서울말,名詞,ソウルのことば【ソウルの言葉】。ソウルほうげん【ソウル方言】,ソウルの人々が使う言葉。
서점,名詞,しょてん【書店】。ほんや【本屋】,本を売る店。
서쪽,名詞,にし【西】。せいほう【西方】。にしがわ【西側】,東西南北の四方位の一つで、日が沈む方向。
세계,名詞,せかい【世界】,地球上のすべての地域・国家。
세배,名詞,セベ【歳拝】,お正月に目上の人に対するあいさつとして行うお辞儀。
세뱃돈,名詞,おとしだま【御年玉】,お正月に目上の人にセベをしてから受け取る金銭。
세상,名詞,よ【世】。ちじょう【地上】,地球の上の全体。
세수,名詞,せんめん【洗面】。せんがん【洗顔】。てあらい【手洗い】,湯水で手や顔を洗うこと。
세숫대야,名詞,せんめんき【洗面器】。てだらい【手盥】。ちょうずだらい【手水盥】,手や顔を洗うのに使う、湯水を入れる大きい器。
세숫물,名詞,ちょうず【手水】。せんめんようのみず【洗面用の水】,手や顔などを洗う用途に使う湯水。
세숫비누,名詞,せんがんせっけん【洗顔石けん】。ソープ,手や顔を洗うのに使う石けん。
세탁,名詞,せんたく【洗濯】。せんじょう【洗浄】。クリーニング,汚れた衣服などを洗うこと。
세탁기,名詞,せんたくき【洗濯機】,洗濯に用いる機械。
세탁비누,名詞,せんたくせっけん【洗濯石鹸】,洗濯用の石けん。
세탁소,名詞,クリーニングや【クリーニング屋】。せんたくや【洗濯屋】,洗濯やアイロンがけなどの営業をする店。
소,名詞,うし【牛】,大型で、褐色または白色と黒色の毛があり、乳を搾って飲んだり、肉を食べたりするために飼う家畜。
소개,名詞,しょうかい【紹介】,両方の仕事がうまく進められるように努めること。
소고기,名詞,ぎゅうにく【牛肉】,食用とする牛の肉。
소금,名詞,しお【塩】。しょくえん【食塩】,しょっぱい味の白い粉。
소리,名詞,おと【音】,物体が振動してできた音波が耳に聞こえること。
소설,名詞,しょうせつ【小説】,作家が作り出して書いた、物語の形式になっている文学作品。
소식,名詞,しょうそく【消息】。たより【便り】。おとさた【音沙汰】,遠く離れていたり、あまり会っていない人の事情や状況を知らせる音信や手紙。
소주,名詞,しょうちゅう【焼酎】,穀物やサツマイモなどで酒造した酒を蒸留して得た酒。
소주병,名詞,しょうちゅうびん【焼酎瓶】,焼酎を入れる瓶。
소주잔,名詞,しょうちゅうグラス【焼酎グラス】。しょうちゅうはい【焼酎杯】,焼酎のように強い酒を飲むのに使う小さい杯。
소파,名詞,ソファー,背もたれに身を預けてゆったりと座れる、クッションが効いた長椅子。
소포,名詞,こづつみ【小包】。こづつみゆうびんぶつ【小包郵便物】,郵便で送る、包装されている小さい物品。
소풍,名詞,ピクニック。えんそく【遠足】。のあそび【野遊び】,景色を楽しんだり遊んだりすることを目的として野外に出かけてくること。
소화제,名詞,しょうかざい【消化剤】,消化を促進させる薬。
쇼핑,名詞,ショッピング。かいもの【買い物】,デパートや商店街を回りながら見物し、買い物をすること。
쇼핑백,名詞,ショッピングバッグ。かいものぶくろ【買い物袋】,商店で購入した品物を入れてくれる、紙やビニールなどで作ったバッグや袋。
수건,名詞,てぬぐい【手拭い】。てふき【手拭き】。タオル,体・顔・手の水気を拭くのに使う布。
수고,名詞,くろう【苦労】。ろうく【労苦】。ほねおり【骨折り】,何かをするために力を尽くし、苦しい思いをすること。また、その苦しさ。
수박,名詞,すいか【西瓜】,丸くて大きく、緑色に青黒い縞模様があって、果肉は赤く水分の多い果物。
수술,名詞,しゅじゅつ【手術】。オペ,病気を治すために体の一部を切断したり縫ったりすること。
수업,名詞,じゅぎょう【授業】,教師が生徒・学生に知識や技術を教えること。
수영,名詞,すいえい【水泳】,水の中を泳ぐこと。
수영복,名詞,みずぎ【水着】,水泳する時に着る服。
수영장,名詞,すいえいじょう【水泳場】,泳ぎながら遊び、水泳競技ができるように施設を備えたところ。
수요일,名詞,すいようび【水曜日】,月曜日を基準にした一週の第3日。
수저,名詞,さじとはし【匙と箸】,匙と箸。
수첩,名詞,てちょう【手帳】,必要な時に簡単にメモするために持ち歩く小さなノート。
슈퍼,名詞,スーパー,食べ物や生活に必要な物品などをすべて揃えて売る大きな店。
슈퍼마켓,名詞,スーパーマーケット,食べ物や生活に必要な物品などをすべて揃えて売る大きな店。
스웨터,名詞,セーター,毛糸で分厚く編んだ上着。
스카프,名詞,スカーフ,防寒や装飾のために頭にかぶったり首に巻いたりする、薄くて長い布。
스케이트,名詞,スケート。アイススケート,氷上を滑走する用具。靴の底に金属製のブレードを取り付けたもの。
스키,名詞,スキー,雪上を滑走するために木やプラスチックで作った細長い板状の用具。
스키장,名詞,スキーじょう【スキー場】,スキーができる施設が整った場所。
스타,名詞,スター,人気の多い芸能人や運動選手。
스트레스,名詞,ストレス,仕事や人、環境などで心理的・肉体的に圧迫と緊張を感じる状態。
스트레칭,名詞,ストレッチング,体と手足を伸ばすこと。
스포츠,名詞,スポーツ,決められたルールに従って体を動かし、身体能力や技術を競い合うこと。
스포츠맨,名詞,スポーツマン,運動に才能があるか、運動を専門的にする人。
스포츠카,名詞,スポーツカー,主にレースをしたり運転を楽しむためにスピードを速く出せるように作った自動車。
스푼,名詞,スプーン。さじ【匙・匕】,料理を食べたりお茶を飲むときに使う、丸い皿状の部分に長い柄がついている道具。色々なサイズがある。
시간표,名詞,じかんひょう【時間表】。じかんわり【時間割】。タイムテーブル,時間によって仕事などを割り当て、あらわした表。
시계,名詞,とけい【時計】,時間を表す機械。
시골,名詞,いなか【田舎】,都会から離れている地域。主に都会より人口が少なく、開発が進まず自然に接しやすい。
시내,名詞,しない【市内】,都市の中。
시민,名詞,しみん【市民】,都市の住民。
시아버지,名詞,しゅうと【舅】,夫の父。
시어머니,名詞,しゅうとめ【姑】,夫の母。
시월,名詞,じゅうがつ【十月】,1年12ケ月の中で10番目の月。
시작,名詞,はじまり【始まり】。はじめ【始め】。かいし【開始】。スタート,ある事や行動の初めの段階になったり、すること。また、そのような段階。
시장,名詞,いちば【市場】。マーケット,色々な商品を売買する所。
시청,名詞,しやくしょ【市役所】,市の行政事務を扱う国の機関。
시험,名詞,しけん【試験】。こうし【考試】。こうさ【考査】。テスト,問題・質問・実際の行動などの一定の手続きに従って、知識や能力を検査し評価すること。
시험공부,名詞,しけんべんきょう【試験勉強】,試験をうまく受けるための勉強。
쓰레기,名詞,ごみ,剥ぎ取ったほこり、または使えなくなって捨てる予定の物やすでに捨てた物。
쓰레기장,名詞,ごみすてば【ごみ捨て場】,ごみを捨てるように決めておいたところ。
쓰레기통,名詞,ごみばこ【ごみ箱】,ごみを入れたり集めておく箱。
아가씨,名詞,おじょうさん【お嬢さん】,結婚していない若い女性。
아기,名詞,あかんぼう【赤ん坊】。あかご【赤子】,乳を飲んでいる時期の幼い子。
아나운서,名詞,アナウンサー。アナ,ニュース報道・実況中継・司会などの放送を専門に担当する人。
아내,名詞,つま【妻】。かない【家内】。にょうぼう【女房】,結婚して男性の配偶者になった女性。
아들,名詞,むすこ【息子】,男性である子供。
아래,名詞,した【下】,一定の基準より低い位置。
아래위,名詞,じょうげ・うえした【上下】,上と下。
아래쪽,名詞,したのほう【下の方】。かほう【下方】,下になる場所や方向。
아르바이트,名詞,アルバイト。バイト。ないしょく【内職】,収入を得るために本業とは別の仕事を臨時にすること。
아름다움,名詞,うつくしさ【美しさ】,美しい様子。
아메리카노,名詞,アメリカーノ,エスプレッソにお湯を加えたコーヒー。
아무것,名詞,なに・なん【何】,正確に決まっていない、ある物事。
아버님,名詞,おとうさま【御父様】,自分を生んでくれた男性を指したり呼んだりする尊敬語。
아버지,名詞,ちち【父】。ちちおや【父親】。おとうさん【御父さん】,自分を生んでくれた男性。また、その人を呼ぶ語。
아빠,名詞,パパ。おとうちゃん【お父ちゃん】,くだけた場面で父親を指したり呼ぶ語。
아이,名詞,こ【子】。こども【子供】,幼い者。
아이섀도,名詞,アイシャドー,目もとに発色の効果を出すための化粧品。
아이스커피,名詞,アイスコーヒー,氷を入れて冷たくしたコーヒー。
아이스케이크,名詞,アイスキャンディー,砂糖水に牛乳や果実汁などを混ぜ、中央部に細いスティック棒を差し込んで凍らせた菓子。
아이스크림,名詞,アイスクリーム,砂糖や牛乳、果実汁などを入れて、クリーム状に凍らせて作った食べ物。
아이스티,名詞,アイスティー,氷を入れて冷やした紅茶。
