등급,어휘,표준동형어번호수정,품사,어종,원어,의미,분야
1등급,가,1,명사,고유어,,"「1」경계에 가까운 바깥쪽 부분.
「2」어떤 중심 되는 곳에서 가까운 부분.
「3」그릇 따위의 아가리의 주변.
「4」‘주변’의 뜻을 나타내는 말.",일반어
1등급,가게,0,명사,고유어,,"「1」작은 규모로 물건을 파는 집.
「2」길거리에 임시로 물건을 벌여 놓고 파는 곳.",일반어
1등급,가까워지다,0,동사,고유어,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧아지다.
[2]어떤 시간이나 날짜 사이의 간격이 짧아지다.
[3]서로의 사이가 점점 다정하고 친하게 되다.
[4]「1」어떤 기준점에 다다른 상태가 되다.
[4]「2」성질이나 특성이 기준이 되는 것과 점점 비슷하게 되다.
[5]소리가 점점 크고 분명하게 느껴지다.",일반어/일반어
1등급,가까이,0,부사/명사,고유어,,"[Ⅰ]「1」한 지점에서 거리가 조금 떨어져 있는 상태로.
[Ⅰ]「2」일정한 때를 기준으로 그때에 약간 못 미치는 상태로.
[Ⅰ]「3」사람과 사람의 사이가 친밀한 상태로.
[Ⅱ]가까운 곳.",일반어
1등급,가깝다,0,형용사,고유어,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧다.
[2]서로의 사이가 다정하고 친하다.
[3]「1」어떤 기준점에 다다른 상태이다.
[3]「2」성질이나 특성이 기준이 되는 것과 비슷하다.
[4]「1」어떤 시간이나 날짜까지의 간격이 짧다.
[4]「2」촌수가 멀지 않다.",일반어
1등급,가꾸다,0,동사,고유어,,"[1]「1」식물이나 그것을 기르는 장소 따위를 손질하고 보살피다.
[1]「2」몸을 잘 매만지거나 꾸미다.
[1]「3」좋은 상태로 만들려고 보살피고 꾸려 가다.
[2]쓸모없는 땅을 쓸모 있는 땅으로 바꾸다.",일반어
1등급,가끔,0,부사,고유어,,시간적ㆍ공간적 간격이 얼마쯤씩 있게.,일반어
1등급,가난,1,명사,고유어,,살림살이가 넉넉하지 못함. 또는 그런 상태.,일반어
1등급,가난하다,0,형용사,고유어,,살림살이가 넉넉하지 못하여 몸과 마음이 괴로운 상태에 있다.,일반어
1등급,가늘다,0,형용사,고유어,,"「1」물체의 지름이 보통의 경우에 미치지 못하고 짧다.
「2」소리의 울림이 보통에 미치지 못하고 약하다.
「3」물체의 굵기가 보통에 미치지 못하고 잘다.
「4」빛이나 연기 따위가 희미하고 약하다.
「5」표정이 얼굴에 나타날 듯 말 듯 약하다.
「6」사이가 좁고 촘촘하다.
「7」움직이는 정도가 아주 약하다.",일반어
1등급,가다,1,동사/보조동사,고유어,,"[Ⅰ][1]「1」한곳에서 다른 곳으로 장소를 이동하다.
[Ⅰ][1]「2」수레, 배, 자동차, 비행기 따위가 운행하거나 다니다.
[Ⅰ][1]「3」지금 있는 곳에서 어떠한 목적을 가지고 다른 곳으로 옮기다.
[Ⅰ][1]「4」직업이나 학업, 복무 따위로 해서 다른 곳으로 옮기다.
[Ⅰ][2]「1」직책이나 자리를 옮기다.
[Ⅰ][2]「2」물건이나 권리 따위가 누구에게 옮겨지다.
[Ⅰ][2]「3」관심이나 눈길 따위가 쏠리다.
[Ⅰ][2]「4」말이나 소식 따위가 알려지거나 전하여지다.
[Ⅰ][2]「5」그러한 상태가 생기거나 일어나다.
[Ⅰ][3]일정한 목적을 가진 모임에 참석하기 위하여 이동하다.
[Ⅰ][4]「1」어떤 상태나 상황을 향하여 나아가다.
[Ⅰ][4]「2」한쪽으로 흘러가다.
[Ⅰ][4]「3」동력원으로 하여 작동하다.
[Ⅰ][4]「4」물체가 한쪽으로 기울어지다.
[Ⅰ][5]「1」금, 줄, 주름살, 흠집 따위가 생기다.
[Ⅰ][5]「2」건강에 해가 되다.
[Ⅰ][5]「3」일정한 시간이 되거나 일정한 곳에 이르다.
[Ⅰ][5]「4」일정한 대상에 미치어 작용하다.
[Ⅰ][5]「5」어떤 일을 하는 데 수고가 많이 들다.
[Ⅰ][6]「1」어떤 대상이 다른 곳으로 이동하여 사라지다.
[Ⅰ][6]「2」지나거나 흐르다.
[Ⅰ][6]「3」기계 따위가 제대로 작동하다.
[Ⅰ][6]「4」외부의 충격이나 영향으로 정신을 제대로 차리지 못하는 혼미한 상태가 되다.
[Ⅰ][6]「5」전기 따위가 꺼지거나 통하지 않다.
[Ⅰ][6]「6」(완곡하게) 사람이 죽다.
[Ⅰ][7]「1」어떤 일에 대하여 납득이나 이해, 짐작 따위가 되다.
[Ⅰ][7]「2」가치나 값, 순위 따위를 나타내는 말과 결합하여 어떤 대상을 기준으로 해서 어느 정도까지 이르다.
[Ⅰ][7]「3」원래의 상태를 잃고 상하거나 변질되다.
[Ⅰ][7]「4」때나 얼룩이 잘 빠지다.
[Ⅰ][8]어떤 경로를 통하여 움직이다.
[Ⅰ][9]「1」어떤 일을 하기 위하여 다른 곳으로 이동하다.
[Ⅰ][9]「2」노름이나 내기에서 얼마의 액수를 판돈으로 걸다.
[Ⅰ][10]어떤 현상이나 상태가 유지되다.
[Ⅱ]말하는 이, 또는 말하는 이가 정하는 어떤 기준점에서 멀어지면서 앞말이 뜻하는 행동이나 상태가 계속 진행됨을 나타내는 말.",일반어
1등급,가두다,0,동사,고유어,,"「1」사람이나 동물을 벽으로 둘러싸거나 울타리가 있는 일정한 장소에 넣고 밖으로 나오지 못하게 하다.
「2」물 따위를 일정한 곳에 괴어 있게 하다.",일반어
1등급,가득,1,부사,고유어,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많은 모양.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 많거나 강한 모양.",일반어
1등급,가득하다,1,형용사,고유어,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 상태에 있다.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많다.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있다.
「4」감정이나 정서, 생각 따위가 많거나 강하다.",일반어
1등급,가라앉다,0,동사,고유어,,"[1]「1」물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다.
[1]「2」안개나 연기 따위가 낮게 드리우다.
[2]「1」바람이나 물결이 잠잠해지다.
[2]「2」흥분이나 아픔, 괴로움 따위가 수그러들거나 사라지다.
[2]「3」숨결이나 기침 따위가 순하게 되다.
[2]「4」붓거나 부풀었던 것이 줄어들어 본래의 모습대로 되다.
[2]「5」떠들썩하던 것이 조용해지다.
[2]「6」세차게 일어나던 것이 뜸해지다.
[2]「7」성하던 것이 활기를 잃은 상태로 되다.",일반어
1등급,가래,6,명사,고유어,,허파에서 후두에 이르는 사이에서 생기는 끈끈한 분비물. 잿빛 흰색 또는 누런 녹색의 차진 풀같이 생겼으며 기침 따위에 의해서 밖으로 나온다.,전문어(의학)
1등급,가렵다,0,형용사,고유어,,"「1」피부에 긁고 싶은 느낌이 있다.
「2」못 견딜 정도로 어떤 말을 하거나 어떤 일을 하고 싶은 느낌이 있다.",일반어
1등급,가로,1,명사/부사,고유어,,"[Ⅰ]왼쪽에서 오른쪽으로 나 있는 방향. 또는 그 길이.
[Ⅱ]왼쪽에서 오른쪽의 방향으로. 또는 옆으로 길게.",일반어
1등급,가로막다,0,동사,고유어,,"「1」앞을 가로질러 막다.
「2」말이나 행동, 일 따위를 제대로 하지 못하도록 방해하거나 막다.
「3」앞이 보이지 않도록 가리다.",일반어
1등급,가루,1,명사,고유어,,딱딱한 물건을 보드라울 정도로 잘게 부수거나 갈아서 만든 것.,일반어
1등급,가르다,0,동사,고유어,,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
